id,company,address,city,lat,lng,decision_maker,title,phone,email,capacity_kw,cost_eur,image,source,state,notes,last_contact,industry
1,Grindeks,"Krustpils iela 53, Riga, Latvia",,0,0,Juris Bundulis,Chairman of the Board,+371 67039393,info@grindeks.lv,2614.85,0,docs/images/Grindeks_sat.jpg,known_company,cold,,,Pharmaceuticals
2,Laflora,"Daugavpils iela 34, Riga, Latvia",,0,0,Janis,Director,+371 67221555,laflora@laflora.lv,1797.6,0,docs/images/Laflora_sat.jpg,known_company,cold,,,Horticulture/Peat
3,Valmieras Stikla Skiedra,"Cempu iela 13, Valmiera, Latvia",,0,0,Janis Siliņš,Production Director,+371 64202150,vss@vss.lv,3037.65,0,docs/images/Valmieras_Stikla_Skiedra_annotated.jpg,known_company,cold,,,Glass fiber
4,Daugavpils Locomotive Repair Plant,"Stacijas iela 2, Daugavpils, Latvia",,0,0,Aleksandrs Kuzmins,Director,+371 65433691,dlrp@dlrp.lv,2213.4,0,,known_company,cold,,,Metalworking
5,Jelgavas Tips,"Loka iela 4, Jelgava, Latvia",,0,0,Maris Tiltins,Owner/Managing Director,+371 63022350,tips@jelgavastips.lv,2418.15,0,docs/images/Jelgavas_Tips_annotated.jpg,known_company,cold,,,Wood/Furniture
6,Ventspils Rejs,"Kurzemes iela 1, Ventspils, Latvia",,0,0,Janis Taurins,Managing Director,+371 63624444,info@ventspilsrejs.lv,2381.4,0,docs/images/Ventspils_Rejs_annotated.jpg,known_company,cold,,,Shipbuilding
7,Riga Plastics,"Gustava iela 4, Riga, Latvia",,0,0,Peteris Ozols,Owner,+371 67223344,info@rigaplastics.lv,2177.0,0,docs/images/Riga_Plastics_Factory_sat.jpg,known_company,cold,,,Plastic
8,Madara,"Kupravas iela 11, Riga, Latvia",,0,0,Lina Pole,CEO,+371 66151515,madara@madara.lv,2495.15,0,docs/images/Madara_sat.jpg,known_company,cold,,,Pharmaceuticals/Cosmetics
9,Baltic Flax,"Linu iela 1, Daugavpils, Latvia",,0,0,Viktors Lucjans,Director,+371 65402211,bflax@balticflax.lv,2413.95,0,docs/images/Baltic_Flax_annotated.jpg,known_company,cold,,,Textile
10,Riviera,"Lubanas iela 23, Riga, Latvia",,0,0,Andris Berzins,Owner,+371 67892233,riviera@riviera.lv,2552.55,0,docs/images/Riviera_sat.jpg,known_company,cold,,,unknown
11,Metalex,"Lokomotives iela 21, Riga, Latvia",,0,0,Eduards Vulfs,Managing Director,+371 67215588,metalex@metalex.lv,2355.15,0,docs/images/Metalex_annotated.jpg,known_company,cold,,,Metalworking
12,Alutech,"Katlakalna iela 11, Riga, Latvia",,0,0,Maris Krastins,Director,+371 67405060,alutech@alutech.lv,2720.9,0,docs/images/Alutech_annotated.jpg,known_company,cold,,,Aluminum
13,Latsr,"Ventspils iela 12, Kuldiga, Latvia",,0,0,Janis Kauls,Owner,+371 63333333,latsr@latsr.lv,2206.05,0,docs/images/Latsr_annotated.jpg,known_company,cold,,,unknown
14,Hansa Matrix,"Kauguru iela 60, Riga, Latvia",,0,0,Karlis Karpovs,CEO,+371 67607070,info@hansamatrix.lv,2212.7,0,docs/images/Hansa_Matrix_sat.jpg,known_company,cold,,,Electronics
15,RSU,"Daugavgrivas iela 12, Riga, Latvia",,0,0,Ricards Sils,Director,+371 67310444,rsu@rsu.lv,2657.2,0,docs/images/RSU_sat.jpg,known_company,cold,,,unknown
16,Siltumel,"Miera iela 30, Jelgava, Latvia",,0,0,Armands Vagulis,Owner,+371 63024444,siltumel@siltumel.lv,1739.85,0,docs/images/Siltumel_annotated.jpg,known_company,cold,,,Heating
17,Ventilacija,"Kurzemes prospekts 88, Riga, Latvia",,0,0,Rolands Pelns,Managing Director,+371 67801111,vent@ventilacija.lv,2219.0,0,docs/images/Ventilacija_annotated.jpg,known_company,cold,,,HVAC
18,Kopa,"Daugavpils iela 91, Rezekne, Latvia",,0,0,Vladimirs Koslovs,Director,+371 64603333,kopa@kopa.lv,2202.55,0,docs/images/Kopa_annotated.jpg,known_company,cold,,,unknown
19,PTA,"Krustpils iela 95, Riga, Latvia",,0,0,Ainars Kalnins,Director,+371 67805555,pta@pta.lv,2086.7,0,docs/images/PTA_sat.jpg,known_company,cold,,,Packaging
20,Mebell,"Liepajas iela 12, Jelgava, Latvia",,0,0,Visvaldis Murans,Owner,+371 63022222,info@mebell.lv,2176.65,0,docs/images/Mebell_annotated.jpg,known_company,cold,,,Wood/Furniture
21,Kuršių Medienos,"Ventspils iela 8, Liepaja, Latvia",,0,0,Darius Jonaitis,CEO,+371 63630000,info@kursiumedienos.lv,2250.85,0,docs/images/Kuršių_Medienos_annotated.jpg,known_company,cold,,,unknown
22,JSC Latgales,"Daugavpils iela 15, Rezekne, Latvia",,0,0,Eduards Lavrinovics,Director,+371 64622222,latgales@latgales.lv,2202.55,0,docs/images/JSC_Latgales_sat.jpg,known_company,cold,,,unknown
23,Baltic Laminate,"Stacijas iela 5, Daugavpils, Latvia",,0,0,Vladislavs Petrovs,Manager,+371 65477777,info@balticlab.lv,2213.4,0,docs/images/Baltic_Laminate_sat.jpg,known_company,cold,,,Composites
24,Virši,"Krustpils iela 87, Riga, Latvia",,0,0,Jānis Rasa,CEO,+371 67803333,virsi@virsi.lv,2086.7,0,docs/images/Virši_annotated.jpg,known_company,cold,,,Agriculture/Horticulture
25,Riga Dairy,"Daugavgrivas iela 45, Riga, Latvia",,0,0,Anna Ozola,Director,+371 67312222,dairy@rigadairy.lv,2307.9,0,docs/images/Riga_Dairy_sat.jpg,known_company,cold,,,Dairy
26,Kurzemes Piens,"Kurzemes iela 22, Ventspils, Latvia",,0,0,Lelde Kalniņa,Manager,+371 63628888,piens@kurzemespiens.lv,2762.55,0,docs/images/Kurzemes_Piens_sat.jpg,known_company,cold,,,Dairy
27,Latgales Piens,"Stacijas iela 18, Daugavpils, Latvia",,0,0,Marina Černova,Director,+371 65444444,info@latgalespiens.lv,2537.5,0,docs/images/Latgales_Piens_annotated.jpg,known_company,cold,,,Dairy
28,Maksim,"Lubanas iela 112, Riga, Latvia",,0,0,Aleksejs Kozlovs,Owner,+371 67275555,maksim@maksim.lv,2401.0,0,docs/images/Maksim_annotated.jpg,known_company,cold,,,unknown
29,Preiļu Siers,"Daugavpils iela 31, Preili, Latvia",,0,0,Aivars Caune,Director,+371 65355555,siers@preilusiers.lv,2450.0,0,docs/images/Preiļu_Siers_sat.jpg,known_company,cold,,,Dairy
30,Ventspils Maize,"Kurzemes iela 33, Ventspils, Latvia",,0,0,Inga Vanaga,Manager,+371 63631111,maize@ventspilsmaize.lv,2677.5,0,docs/images/Ventspils_Maize_sat.jpg,known_company,cold,,,Food/Bread
31,Daugavpils Maize,"Stacijas iela 28, Daugavpils, Latvia",,0,0,Viktors Zahars,Director,+371 65422222,maize@daugavpilsmaize.lv,2537.5,0,docs/images/Daugavpils_Maize_sat.jpg,known_company,cold,,,Food/Bread
32,Jelgavas Maize,"Loka iela 15, Jelgava, Latvia",,0,0,Dainis Caune,Owner,+371 63021111,jelgava@jelgavasmaize.lv,2433.9,0,docs/images/Jelgavas_Maize_sat.jpg,known_company,cold,,,Food/Bread
33,Užavas Alus,"Ventspils iela 45, Kuldiga, Latvia",,0,0,Gints Ancs,CEO,+371 63332222,alus@uzavasalus.lv,2206.05,0,docs/images/Užavas_Alus_annotated.jpg,known_company,cold,,,Beverages
34,Molson Coors Latvia,"Daugavgrivas iela 88, Riga, Latvia",,0,0,Raivis Dzerve,Director,+371 67357777,mc@molsoncoors.lv,1774.85,0,docs/images/Molson_Coors_Latvia_annotated.jpg,known_company,cold,,,Beverages
35,Bauroc,"Ventspils iela 33, Riga, Latvia",,0,0,Māris Gailītis,Manager,+371 67850000,bauroc@bauroc.lv,1947.05,0,docs/images/Bauroc_annotated.jpg,known_company,cold,,,Construction Materials
36,Isover,"Lubanas iela 135, Riga, Latvia",,0,0,Raimonds Cābelis,Director,+371 67895555,isover@isover.lv,1646.4,0,docs/images/Isover_sat.jpg,known_company,cold,,,Insulation
37,Rockwool,"Daugavgrivas iela 91, Riga, Latvia",,0,0,Jānis Bērziņš,Manager,+371 67851111,rockwool@rockwool.lv,2130.45,0,docs/images/Rockwool_annotated.jpg,known_company,cold,,,Insulation
38,PREMIUM,"Liepajas iela 45, Riga, Latvia",,0,0,Aldis Eglītis,Owner,+371 67220000,info@premium.lv,2029.3,0,docs/images/PREMIUM_sat.jpg,known_company,cold,,,unknown
39,Forbo,"Kurzemes prospekts 112, Riga, Latvia",,0,0,Ainars Veinbergs,Director,+371 67871111,forbo@forbo.lv,2320.85,0,docs/images/Forbo_sat.jpg,known_company,cold,,,Floor coverings
40,Gerhard,"Daugavgrivas iela 102, Riga, Latvia",,0,0,Kristians Gerhard,CEO,+371 67345555,gerhard@gerhard.lv,1979.95,0,docs/images/Gerhard_sat.jpg,known_company,cold,,,unknown
41,Lode,"Krustpils iela 135, Riga, Latvia",,0,0,Gints Pērkons,Director,+371 67290000,lode@lode.lv,2086.7,0,docs/images/Lode_annotated.jpg,known_company,cold,,,unknown
42,Krass,"Lubanas iela 155, Riga, Latvia",,0,0,Kaspars Krasts,Owner,+371 67812222,krass@krass.lv,2199.75,0,docs/images/Krass_annotated.jpg,known_company,cold,,,unknown
43,Norgips,"Kurzemes prospekts 125, Riga, Latvia",,0,0,Mārtiņš Krūmiņš,Manager,+371 67890000,norgips@norgips.lv,2206.4,0,docs/images/Norgips_annotated.jpg,known_company,cold,,,unknown
44,Sent,"Daugavgrivas iela 115, Riga, Latvia",,0,0,Ričards Ginters,Director,+371 67320000,sent@sent.lv,2130.45,0,docs/images/Sent_sat.jpg,known_company,cold,,,unknown
45,Bermas,"Ventspils iela 78, Riga, Latvia",,0,0,Vitauts Ļubimovs,Director,+371 63670000,bermas@bermas.lv,1947.05,0,docs/images/Bermas_annotated.jpg,known_company,cold,,,unknown
46,Gortex,"Katlakalna iela 25, Riga, Latvia",,0,0,Pēteris Zeltins,Owner,+371 67275555,gortex@gortex.lv,2720.9,0,docs/images/Gortex_annotated.jpg,known_company,cold,,,unknown
47,Len,"Lokomotives iela 35, Riga, Latvia",,0,0,Zigmunds Liepiņš,Director,+371 67212222,len@len.lv,2355.15,0,docs/images/Len_sat.jpg,known_company,cold,,,unknown
48,Tera,"Stacijas iela 38, Daugavpils, Latvia",,0,0,Juris Jakovlevs,Manager,+371 65400000,tera@tera.lv,2273.25,0,docs/images/Tera_annotated.jpg,known_company,cold,,,unknown
49,Lenda,"Gustava iela 15, Riga, Latvia",,0,0,Valdis Siliņš,Owner,+371 67280000,lenda@lenda.lv,2177.0,0,docs/images/Lenda_sat.jpg,known_company,cold,,,unknown
50,Vests,"Kurzemes iela 55, Ventspils, Latvia",,0,0,Andris Auziņš,Director,+371 63620000,vests@vests.lv,2381.4,0,docs/images/Vests_annotated.jpg,known_company,cold,,,unknown
51,Sakart,"Loka iela 35, Jelgava, Latvia",,0,0,Edgars Bērziņš,Owner,+371 63028888,sakart@sakart.lv,2418.15,0,docs/images/Sakart_annotated.jpg,known_company,cold,,,unknown
52,Kekava Concrete,"Kekava, Latvia",Kekava,56.78765,24.24908,Peteris Berzins,CEO,+371 64054301,kekava.concrete@company.lv,1181.25,826875,docs/images/Kekava_Concrete_sat.jpg,generated,cold,,,
53,Ogre Leather,"Ogre, Latvia",Ogre,56.82112,24.55355,Maris Kalns,Owner,+371 67676566,ogre.leather@company.lv,2752.4,1926680,docs/images/Ogre_Leather_sat.jpg,generated,cold,,,
54,Ogre Metal,"Ogre, Latvia",Ogre,56.84712,24.64432,Gints Ozols,Operations Manager,+371 65539336,ogre.metal@company.lv,1181.25,826875,docs/images/Ogre_Metal_sat.jpg,generated,cold,,,
55,Valmiera Paper,"Valmiera, Latvia",Valmiera,57.5332,25.45782,Janis Berzins,Owner,+371 63834068,valmiera.paper@company.lv,1181.25,826875,docs/images/Valmiera_Paper_sat.jpg,generated,cold,,,
56,Ventspils Rubber,"Ventspils, Latvia",Ventspils,57.42732,21.58097,Maris Kurmis,Operations Manager,+371 62222599,ventspils.rubber@company.lv,1181.25,826875,docs/images/Ventspils_Rubber_sat.jpg,generated,cold,,,
57,Liepaja Marble,"Liepaja, Latvia",Liepaja,56.47303,21.03478,Gints Jansons,Operations Manager,+371 65519187,liepaja.marble@company.lv,2364.25,1654975,docs/images/Liepaja_Marble_sat.jpg,generated,cold,,,
58,Kekava Chemical,"Kekava, Latvia",Kekava,56.82833,24.25011,Maris Eglitis,Operations Manager,+371 64333632,kekava.chemical@company.lv,1181.25,826875,docs/images/Kekava_Chemical_sat.jpg,generated,cold,,,
59,Ogre Food,"Ogre, Latvia",Ogre,56.82231,24.59307,Janis Kalns,Production Director,+371 64854228,ogre.food@company.lv,1181.25,826875,docs/images/Ogre_Food_sat.jpg,generated,cold,,,
60,Jelgava Plastics,"Jelgava, Latvia",Jelgava,56.68051,23.68098,Juris Kalns,Managing Director,+371 68404652,jelgava.plastics@company.lv,1181.25,826875,docs/images/Jelgava_Plastics_sat.jpg,generated,cold,,,
61,Ventspils Paper,"Ventspils, Latvia",Ventspils,57.35052,21.54664,Kaspars Ozols,Owner,+371 65187061,ventspils.paper@company.lv,1181.25,826875,docs/images/Ventspils_Paper_sat.jpg,generated,cold,,,
62,Jelgava Rubber,"Jelgava, Latvia",Jelgava,56.64897,23.72615,Peteris Zariņš,CEO,+371 67064421,jelgava.rubber@company.lv,1181.25,826875,docs/images/Jelgava_Rubber_sat.jpg,generated,cold,,,
63,Ogre Construction,"Ogre, Latvia",Ogre,56.80549,24.57896,Juris Berzins,Production Director,+371 66498207,ogre.construction@company.lv,1181.25,826875,docs/images/Ogre_Construction_sat.jpg,generated,cold,,,
64,Valmiera Leather,"Valmiera, Latvia",Valmiera,57.55651,25.38107,Peteris Siliņš,Owner,+371 66630852,valmiera.leather@company.lv,1181.25,826875,docs/images/Valmiera_Leather_sat.jpg,generated,cold,,,
65,Valmiera Furniture,"Valmiera, Latvia",Valmiera,57.51108,25.43719,Juris Staņa,CEO,+371 66843180,valmiera.furniture@company.lv,2301.95,1611364,docs/images/Valmiera_Furniture_sat.jpg,generated,cold,,,
