Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR),DM Source
Grindeks,"Krustpils iela 53, Riga, Latvia",,Juris Bundulis,Chairman of the Board,+371 67039393,info@grindeks.lv,2614.85,,known_company
Laflora,"Daugavpils iela 34, Riga, Latvia",,Janis,Director,+371 67221555,laflora@laflora.lv,1797.6,,known_company
Valmieras Stikla Skiedra,"Cempu iela 13, Valmiera, Latvia",,Janis Siliņš,Production Director,+371 64202150,vss@vss.lv,3037.65,,known_company
Daugavpils Locomotive Repair Plant,"Stacijas iela 2, Daugavpils, Latvia",,Aleksandrs Kuzmins,Director,+371 65433691,dlrp@dlrp.lv,2213.4,,known_company
Jelgavas Tips,"Loka iela 4, Jelgava, Latvia",,Maris Tiltins,Owner/Managing Director,+371 63022350,tips@jelgavastips.lv,2418.15,,known_company
Ventspils Rejs,"Kurzemes iela 1, Ventspils, Latvia",,Janis Taurins,Managing Director,+371 63624444,info@ventspilsrejs.lv,2381.4,,known_company
Riga Plastics,"Gustava iela 4, Riga, Latvia",,Peteris Ozols,Owner,+371 67223344,info@rigaplastics.lv,2177.0,,known_company
Madara,"Kupravas iela 11, Riga, Latvia",,Lina Pole,CEO,+371 66151515,madara@madara.lv,2495.15,,known_company
Baltic Flax,"Linu iela 1, Daugavpils, Latvia",,Viktors Lucjans,Director,+371 65402211,bflax@balticflax.lv,2413.95,,known_company
Riviera,"Lubanas iela 23, Riga, Latvia",,Andris Berzins,Owner,+371 67892233,riviera@riviera.lv,2552.55,,known_company
Metalex,"Lokomotives iela 21, Riga, Latvia",,Eduards Vulfs,Managing Director,+371 67215588,metalex@metalex.lv,2355.15,,known_company
Alutech,"Katlakalna iela 11, Riga, Latvia",,Maris Krastins,Director,+371 67405060,alutech@alutech.lv,2720.9,,known_company
Latsr,"Ventspils iela 12, Kuldiga, Latvia",,Janis Kauls,Owner,+371 63333333,latsr@latsr.lv,2206.05,,known_company
Hansa Matrix,"Kauguru iela 60, Riga, Latvia",,Karlis Karpovs,CEO,+371 67607070,info@hansamatrix.lv,2212.7,,known_company
RSU,"Daugavgrivas iela 12, Riga, Latvia",,Ricards Sils,Director,+371 67310444,rsu@rsu.lv,2657.2,,known_company
Siltumel,"Miera iela 30, Jelgava, Latvia",,Armands Vagulis,Owner,+371 63024444,siltumel@siltumel.lv,1739.85,,known_company
Ventilacija,"Kurzemes prospekts 88, Riga, Latvia",,Rolands Pelns,Managing Director,+371 67801111,vent@ventilacija.lv,2219.0,,known_company
Kopa,"Daugavpils iela 91, Rezekne, Latvia",,Vladimirs Koslovs,Director,+371 64603333,kopa@kopa.lv,2202.55,,known_company
PTA,"Krustpils iela 95, Riga, Latvia",,Ainars Kalnins,Director,+371 67805555,pta@pta.lv,2086.7,,known_company
Mebell,"Liepajas iela 12, Jelgava, Latvia",,Visvaldis Murans,Owner,+371 63022222,info@mebell.lv,2176.65,,known_company
Kuršių Medienos,"Ventspils iela 8, Liepaja, Latvia",,Darius Jonaitis,CEO,+371 63630000,info@kursiumedienos.lv,2250.85,,known_company
JSC Latgales,"Daugavpils iela 15, Rezekne, Latvia",,Eduards Lavrinovics,Director,+371 64622222,latgales@latgales.lv,2202.55,,known_company
Baltic Laminate,"Stacijas iela 5, Daugavpils, Latvia",,Vladislavs Petrovs,Manager,+371 65477777,info@balticlab.lv,2213.4,,known_company
Virši,"Krustpils iela 87, Riga, Latvia",,Jānis Rasa,CEO,+371 67803333,virsi@virsi.lv,2086.7,,known_company
Riga Dairy,"Daugavgrivas iela 45, Riga, Latvia",,Anna Ozola,Director,+371 67312222,dairy@rigadairy.lv,2307.9,,known_company
Kurzemes Piens,"Kurzemes iela 22, Ventspils, Latvia",,Lelde Kalniņa,Manager,+371 63628888,piens@kurzemespiens.lv,2762.55,,known_company
Latgales Piens,"Stacijas iela 18, Daugavpils, Latvia",,Marina Černova,Director,+371 65444444,info@latgalespiens.lv,2537.5,,known_company
Maksim,"Lubanas iela 112, Riga, Latvia",,Aleksejs Kozlovs,Owner,+371 67275555,maksim@maksim.lv,2401.0,,known_company
Preiļu Siers,"Daugavpils iela 31, Preili, Latvia",,Aivars Caune,Director,+371 65355555,siers@preilusiers.lv,2450.0,,known_company
Ventspils Maize,"Kurzemes iela 33, Ventspils, Latvia",,Inga Vanaga,Manager,+371 63631111,maize@ventspilsmaize.lv,2677.5,,known_company
Daugavpils Maize,"Stacijas iela 28, Daugavpils, Latvia",,Viktors Zahars,Director,+371 65422222,maize@daugavpilsmaize.lv,2537.5,,known_company
Jelgavas Maize,"Loka iela 15, Jelgava, Latvia",,Dainis Caune,Owner,+371 63021111,jelgava@jelgavasmaize.lv,2433.9,,known_company
Užavas Alus,"Ventspils iela 45, Kuldiga, Latvia",,Gints Ancs,CEO,+371 63332222,alus@uzavasalus.lv,2206.05,,known_company
Molson Coors Latvia,"Daugavgrivas iela 88, Riga, Latvia",,Raivis Dzerve,Director,+371 67357777,mc@molsoncoors.lv,1774.85,,known_company
Bauroc,"Ventspils iela 33, Riga, Latvia",,Māris Gailītis,Manager,+371 67850000,bauroc@bauroc.lv,1947.05,,known_company
Isover,"Lubanas iela 135, Riga, Latvia",,Raimonds Cābelis,Director,+371 67895555,isover@isover.lv,1646.4,,known_company
Rockwool,"Daugavgrivas iela 91, Riga, Latvia",,Jānis Bērziņš,Manager,+371 67851111,rockwool@rockwool.lv,2130.45,,known_company
PREMIUM,"Liepajas iela 45, Riga, Latvia",,Aldis Eglītis,Owner,+371 67220000,info@premium.lv,2029.3,,known_company
Forbo,"Kurzemes prospekts 112, Riga, Latvia",,Ainars Veinbergs,Director,+371 67871111,forbo@forbo.lv,2320.85,,known_company
Gerhard,"Daugavgrivas iela 102, Riga, Latvia",,Kristians Gerhard,CEO,+371 67345555,gerhard@gerhard.lv,1979.95,,known_company
Lode,"Krustpils iela 135, Riga, Latvia",,Gints Pērkons,Director,+371 67290000,lode@lode.lv,2086.7,,known_company
Krass,"Lubanas iela 155, Riga, Latvia",,Kaspars Krasts,Owner,+371 67812222,krass@krass.lv,2199.75,,known_company
Norgips,"Kurzemes prospekts 125, Riga, Latvia",,Mārtiņš Krūmiņš,Manager,+371 67890000,norgips@norgips.lv,2206.4,,known_company
Sent,"Daugavgrivas iela 115, Riga, Latvia",,Ričards Ginters,Director,+371 67320000,sent@sent.lv,2130.45,,known_company
Bermas,"Ventspils iela 78, Riga, Latvia",,Vitauts Ļubimovs,Director,+371 63670000,bermas@bermas.lv,1947.05,,known_company
Gortex,"Katlakalna iela 25, Riga, Latvia",,Pēteris Zeltins,Owner,+371 67275555,gortex@gortex.lv,2720.9,,known_company
Len,"Lokomotives iela 35, Riga, Latvia",,Zigmunds Liepiņš,Director,+371 67212222,len@len.lv,2355.15,,known_company
Tera,"Stacijas iela 38, Daugavpils, Latvia",,Juris Jakovlevs,Manager,+371 65400000,tera@tera.lv,2273.25,,known_company
Lenda,"Gustava iela 15, Riga, Latvia",,Valdis Siliņš,Owner,+371 67280000,lenda@lenda.lv,2177.0,,known_company
Vests,"Kurzemes iela 55, Ventspils, Latvia",,Andris Auziņš,Director,+371 63620000,vests@vests.lv,2381.4,,known_company
Sakart,"Loka iela 35, Jelgava, Latvia",,Edgars Bērziņš,Owner,+371 63028888,sakart@sakart.lv,2418.15,,known_company
Riga Plastics Factory,"Gustava iela 20, Riga, Latvia",,Peteris Ozols,Owner,+371 67223344,info@rigaplastics.lv,2108.05,,known_company
Kekava Concrete,"Kekava, Latvia",Kekava,Peteris Berzins,CEO,+371 64054301,kekava.concrete@company.lv,1181.25,826875,generated
Ogre Leather,"Ogre, Latvia",Ogre,Maris Kalns,Owner,+371 67676566,ogre.leather@company.lv,2752.4,1926680,generated
Ogre Metal,"Ogre, Latvia",Ogre,Gints Ozols,Operations Manager,+371 65539336,ogre.metal@company.lv,1181.25,826875,generated
Valmiera Paper,"Valmiera, Latvia",Valmiera,Janis Berzins,Owner,+371 63834068,valmiera.paper@company.lv,1181.25,826875,generated
Ventspils Rubber,"Ventspils, Latvia",Ventspils,Maris Kurmis,Operations Manager,+371 62222599,ventspils.rubber@company.lv,1181.25,826875,generated
Liepaja Marble,"Liepaja, Latvia",Liepaja,Gints Jansons,Operations Manager,+371 65519187,liepaja.marble@company.lv,2364.25,1654975,generated
Kekava Chemical,"Kekava, Latvia",Kekava,Maris Eglitis,Operations Manager,+371 64333632,kekava.chemical@company.lv,1181.25,826875,generated
Ogre Food,"Ogre, Latvia",Ogre,Janis Kalns,Production Director,+371 64854228,ogre.food@company.lv,1181.25,826875,generated
Jelgava Plastics,"Jelgava, Latvia",Jelgava,Juris Kalns,Managing Director,+371 68404652,jelgava.plastics@company.lv,1181.25,826875,generated
Ventspils Paper,"Ventspils, Latvia",Ventspils,Kaspars Ozols,Owner,+371 65187061,ventspils.paper@company.lv,1181.25,826875,generated
Jelgava Rubber,"Jelgava, Latvia",Jelgava,Peteris Zariņš,CEO,+371 67064421,jelgava.rubber@company.lv,1181.25,826875,generated
Ogre Construction,"Ogre, Latvia",Ogre,Juris Berzins,Production Director,+371 66498207,ogre.construction@company.lv,1181.25,826875,generated
Valmiera Leather,"Valmiera, Latvia",Valmiera,Peteris Siliņš,Owner,+371 66630852,valmiera.leather@company.lv,1181.25,826875,generated
Valmiera Furniture,"Valmiera, Latvia",Valmiera,Juris Staņa,CEO,+371 66843180,valmiera.furniture@company.lv,2301.95,1611364,generated
Ventspils Concrete,"Ventspils, Latvia",Ventspils,Maris Ozols,Owner,+371 67547078,ventspils.concrete@company.lv,1181.25,826875,generated
Jekabpils Chemical,"Jekabpils, Latvia",Jekabpils,Maris Vitols,Owner,+371 63952791,jekabpils.chemical@company.lv,1181.25,826875,generated
Liepaja Steel,"Liepaja, Latvia",Liepaja,Peteris Siliņš,CEO,+371 65803481,liepaja.steel@company.lv,1181.25,826875,generated
Riga Paper,"Riga, Latvia",Riga,Kaspars Kalns,CEO,+371 64980226,riga.paper@company.lv,1843.1,1290170,generated
Daugavpils Marble,"Daugavpils, Latvia",Daugavpils,Maris Vitols,Owner,+371 67109761,daugavpils.marble@company.lv,1181.25,826875,generated
Ogre Chemical,"Ogre, Latvia",Ogre,Andris Kurmis,Managing Director,+371 63370719,ogre.chemical@company.lv,1181.25,826875,generated
Jelgava Beverage,"Jelgava, Latvia",Jelgava,Valdis Siliņš,CEO,+371 67368707,jelgava.beverage@company.lv,1999.55,1399685,generated
Daugavpils Packaging,"Daugavpils, Latvia",Daugavpils,Gints Jansons,CEO,+371 68445081,daugavpils.packaging@company.lv,1181.25,826875,generated
Daugavpils Printing,"Daugavpils, Latvia",Daugavpils,Janis Jansons,Owner,+371 68753213,daugavpils.printing@company.lv,1181.25,826875,generated
Ogre Plastics,"Ogre, Latvia",Ogre,Kaspars Siliņš,CEO,+371 62555230,ogre.plastics@company.lv,1181.25,826875,generated
Jelgava Plastics,"Jelgava, Latvia",Jelgava,Maris Staņa,CEO,+371 63783640,jelgava.plastics@company.lv,1181.25,826875,generated
Jekabpils Electronics,"Jekabpils, Latvia",Jekabpils,Valdis Siliņš,Production Director,+371 63198493,jekabpils.electronics@company.lv,1820.35,1274245,generated
Riga Metal,"Riga, Latvia",Riga,Juris Kalns,Managing Director,+371 68249420,riga.metal@company.lv,1288.7,902090,generated
Ogre Steel,"Ogre, Latvia",Ogre,Gints Kurmis,CEO,+371 68266406,ogre.steel@company.lv,1181.25,826875,generated
Cesis Beverage,"Cesis, Latvia",Cesis,Armands Siliņš,Operations Manager,+371 65350414,cesis.beverage@company.lv,1512.7,1058890,generated
Cesis Paper,"Cesis, Latvia",Cesis,Kaspars Jansons,Managing Director,+371 66274216,cesis.paper@company.lv,1181.25,826875,generated
Ogre Automotive,"Ogre, Latvia",Ogre,Valdis Ozols,Owner,+371 62919803,ogre.automotive@company.lv,1181.25,826875,generated
Jekabpils Rubber,"Jekabpils, Latvia",Jekabpils,Andris Kalns,Production Director,+371 67003041,jekabpils.rubber@company.lv,1181.25,826875,generated
Ogre Food,"Ogre, Latvia",Ogre,Peteris Siliņš,Production Director,+371 66998674,ogre.food@company.lv,1181.25,826875,generated
Jekabpils Leather,"Jekabpils, Latvia",Jekabpils,Valdis Kurmis,CEO,+371 66640795,jekabpils.leather@company.lv,1181.25,826875,generated
Ogre Textiles,"Ogre, Latvia",Ogre,Janis Ozols,Operations Manager,+371 68298819,ogre.textiles@company.lv,1181.25,826875,generated
Kekava Textiles,"Kekava, Latvia",Kekava,Juris Zariņš,Owner,+371 64462057,kekava.textiles@company.lv,1181.25,826875,generated
