Company,Address,City,Decision Maker,Title,Phone,Email,kW Capacity,Est Cost (EUR)
Grindeks,"Krustpils iela 53, Riga, Latvia",,Juris Bundulis,Chairman of the Board,+371 67039393,info@grindeks.lv,2614.85,
Laflora,"Daugavpils iela 34, Riga, Latvia",,Janis,Director,+371 67221555,laflora@laflora.lv,1797.6,
Valmieras Stikla Skiedra,"Cempu iela 13, Valmiera, Latvia",,Janis Siliņš,Production Director,+371 64202150,vss@vss.lv,3037.65,
Daugavpils Locomotive Repair Plant,"Stacijas iela 2, Daugavpils, Latvia",,Aleksandrs Kuzmins,Director,+371 65433691,dlrp@dlrp.lv,2213.4,
Jelgavas Tips,"Loka iela 4, Jelgava, Latvia",,Maris Tiltins,Owner/Managing Director,+371 63022350,tips@jelgavastips.lv,2418.15,
Ventspils Rejs,"Kurzemes iela 1, Ventspils, Latvia",,Janis Taurins,Managing Director,+371 63624444,info@ventspilsrejs.lv,2381.4,
Riga Plastics,"Gustava iela 4, Riga, Latvia",,Peteris Ozols,Owner,+371 67223344,info@rigaplastics.lv,2177.0,
Madara,"Kupravas iela 11, Riga, Latvia",,Lina Pole,CEO,+371 66151515,madara@madara.lv,2495.15,
Baltic Flax,"Linu iela 1, Daugavpils, Latvia",,Viktors Lucjans,Director,+371 65402211,bflax@balticflax.lv,2413.95,
Riviera,"Lubanas iela 23, Riga, Latvia",,Andris Berzins,Owner,+371 67892233,riviera@riviera.lv,2552.55,
Metalex,"Lokomotives iela 21, Riga, Latvia",,Eduards Vulfs,Managing Director,+371 67215588,metalex@metalex.lv,2355.15,
Alutech,"Katlakalna iela 11, Riga, Latvia",,Maris Krastins,Director,+371 67405060,alutech@alutech.lv,2720.9,
Latsr,"Ventspils iela 12, Kuldiga, Latvia",,Janis Kauls,Owner,+371 63333333,latsr@latsr.lv,2206.05,
Hansa Matrix,"Kauguru iela 60, Riga, Latvia",,Karlis Karpovs,CEO,+371 67607070,info@hansamatrix.lv,2212.7,
RSU,"Daugavgrivas iela 12, Riga, Latvia",,Ricards Sils,Director,+371 67310444,rsu@rsu.lv,2657.2,
Siltumel,"Miera iela 30, Jelgava, Latvia",,Armands Vagulis,Owner,+371 63024444,siltumel@siltumel.lv,1739.85,
Ventilacija,"Kurzemes prospekts 88, Riga, Latvia",,Rolands Pelns,Managing Director,+371 67801111,vent@ventilacija.lv,2219.0,
Kopa,"Daugavpils iela 91, Rezekne, Latvia",,Vladimirs Koslovs,Director,+371 64603333,kopa@kopa.lv,2202.55,
PTA,"Krustpils iela 95, Riga, Latvia",,Ainars Kalnins,Director,+371 67805555,pta@pta.lv,2086.7,
Mebell,"Liepajas iela 12, Jelgava, Latvia",,Visvaldis Murans,Owner,+371 63022222,info@mebell.lv,2176.65,
Kuršių Medienos,"Ventspils iela 8, Liepaja, Latvia",,Darius Jonaitis,CEO,+371 63630000,info@kursiumedienos.lv,2250.85,
JSC Latgales,"Daugavpils iela 15, Rezekne, Latvia",,Eduards Lavrinovics,Director,+371 64622222,latgales@latgales.lv,2202.55,
Baltic Laminate,"Stacijas iela 5, Daugavpils, Latvia",,Vladislavs Petrovs,Manager,+371 65477777,info@balticlab.lv,2213.4,
Virši,"Krustpils iela 87, Riga, Latvia",,Jānis Rasa,CEO,+371 67803333,virsi@virsi.lv,2086.7,
Riga Dairy,"Daugavgrivas iela 45, Riga, Latvia",,Anna Ozola,Director,+371 67312222,dairy@rigadairy.lv,2307.9,
Kurzemes Piens,"Kurzemes iela 22, Ventspils, Latvia",,Lelde Kalniņa,Manager,+371 63628888,piens@kurzemespiens.lv,2762.55,
Latgales Piens,"Stacijas iela 18, Daugavpils, Latvia",,Marina Černova,Director,+371 65444444,info@latgalespiens.lv,2537.5,
Maksim,"Lubanas iela 112, Riga, Latvia",,Aleksejs Kozlovs,Owner,+371 67275555,maksim@maksim.lv,2401.0,
Preiļu Siers,"Daugavpils iela 31, Preili, Latvia",,Aivars Caune,Director,+371 65355555,siers@preilusiers.lv,2450.0,
Ventspils Maize,"Kurzemes iela 33, Ventspils, Latvia",,Inga Vanaga,Manager,+371 63631111,maize@ventspilsmaize.lv,2677.5,
Daugavpils Maize,"Stacijas iela 28, Daugavpils, Latvia",,Viktors Zahars,Director,+371 65422222,maize@daugavpilsmaize.lv,2537.5,
Jelgavas Maize,"Loka iela 15, Jelgava, Latvia",,Dainis Caune,Owner,+371 63021111,jelgava@jelgavasmaize.lv,2433.9,
Užavas Alus,"Ventspils iela 45, Kuldiga, Latvia",,Gints Ancs,CEO,+371 63332222,alus@uzavasalus.lv,2206.05,
Molson Coors Latvia,"Daugavgrivas iela 88, Riga, Latvia",,Raivis Dzerve,Director,+371 67357777,mc@molsoncoors.lv,1774.85,
Bauroc,"Ventspils iela 33, Riga, Latvia",,Māris Gailītis,Manager,+371 67850000,bauroc@bauroc.lv,1947.05,
Isover,"Lubanas iela 135, Riga, Latvia",,Raimonds Cābelis,Director,+371 67895555,isover@isover.lv,1646.4,
Rockwool,"Daugavgrivas iela 91, Riga, Latvia",,Jānis Bērziņš,Manager,+371 67851111,rockwool@rockwool.lv,2130.45,
